BAR190,Punjab Pura
BAR191,Chhipi Tola
BAR192,Sahookara
BAR193,Bajariya Motilal
BAR194,Siklapur
BAR195,Bagbrigatan
BAR196,Saray Kham
BAR197,Ajam Nagar
BAR198,Suresh Sharma Nagar
BAR199,Nirman Nagar
BAR200,Laksmi Nagar Colony
BAR201,Ramayan Vihar
BAR202,Tilak Colony (Subhash Nagar)
BAR203,Vagga Colony (Subhash Nagar)
BAR204,Subhash Nagar
BAR205,Sarvoday Nagar
BAR206,Railway School
BAR207,Chadhai Neem
BAR208,Katara Manray
BAR209,Jakati
BAR210,Gali Navavan
BAR211,Bajariya Pooran Mal
BAR212,Memiya Tola
BAR213,Khalilpur
BAR214,Sleeper Road Labour Colony
BAR215,C.b. Ganj
BAR216,Lohiya Bihar (C.b. Ganj)
BAR217,Premnagar C.b. Ganj
BAR218,C.b. Ganj Industrial State
BAR219,Divya Lok Colony
BAR220,Purnagiri Vihar
BAR221,Ramayan Epartament
BAR222,Vrindavan Colony
BAR223,Puspanjali Colony
BAR224,Rajiv Kunj
BAR225,Rajendra Nagar
BAR226,Rajendra Nagar (C. Block)
BAR227,Swapn Lok Colony
BAR228,Rajendr Nagar(E. Block)
BAR229,Rajendr Nagar(D. Block)
BAR230,Gul Mohar Park (Rajendr Nagar)
BAR231,Glaxy Home
BAR232,Deepak Bihar
BAR233,Narendra Bihar
BAR234,Jagadish Bihar/avadh Avas
BAR235,Indira Nagar
BAR236,Rajendra Nagar (A. Block)
BAR237,Rajendra Nagar (B. Block)
BAR238,Shiv Nagar
BAR239,Mandal Vihar
BAR240,Riksh Bandan
BAR241,Vamanpuri
BAR242,Khannoo
BAR243,Gadhaiya
BAR244,Saray Pukhta
BAR245,Foolvalan
BAR246,Krishn Vihar
BAR247,Shivpuri (Maulanagar)
BAR248,Amar Colony (Surkha)
BAR249,B.c. Bank Colony (Surkha)
BAR250,Maula Nagar
BAR251,Vikramadityapuri (Surkha)
BAR252,Surkha
BAR253,Shahabad
BAR254,Madhinath
BAR255,Rabindra Nagar
BAR256,Vanshi Nagala Madinath
BAR257,Ganesh Nagar
BAR258,Northacity Extension
BAR259,Indraprasth Colony
BAR260,Kurmachal Nagar
BAR261,Kudesiya Izzat Nagar
BAR262,Railway Colony Izzat Nagar
BAR263,Notify Area Izzat Nagar
BAR264,Tiyooliya
BAR265,Bandiya
BAR266,Mathurapur
BAR267,Faridapur Chaudhari
BAR268,Krishna Nagar
BAR269,Nandan Van Colony
BAR270,Shidhart Nagar
BAR271,Math Laksmipur
BAR272,Rahpura Chaudhari
BAR273,Avadh Dham Colony
BAR274,Math Kamal Nayanapur
BAR275,Partapur Jevan Sahay
BAR276,Suncity
BAR277,Abhilasha Sancity Vistar
BAR278,Avantika Suncity Vistar
BAR279,Astha Suncity Vistar
BAR280,Vatika Sancity Vistar
BAR281,North City
BAR282,Sancity Executive
BAR283,Sancity Old
BAR284,Club Premier (Suncity)
BAR285,Vaibhav Sancity Vistar
BAR286,Peer Vahoda
BAR287,Nai Basti
BAR288,Akab Kotavali
BAR289,Basmandi
BAR290,Alamgiriganj
BAR291,Farrashi Tola
BAR292,Vidhauliya C. B. Ganj
BAR293,Govindapur
BAR294,West End Colony
BAR295,Sanaua
BAR296,Nakshbandhan
BAR297,Jakhira
BAR298,Masjid Domani
BAR299,Gherashekh Mitthoo
BAR300,Jasoli Ahetmali
BAR301,Lichi Bagh
BAR302,Srai Talfi
BAR303,Navadiya
BAR304,Swale Nagar
BAR305,Chandan Nagar
BAR306,Pashupati Vihar
BAR307,Aizajnagar Gautiya
BAR308,Tulsi Nagar
BAR309,Katghar
BAR310,Husain Bagh
BAR311,Civil Line
BAR312,Sarkari Vibhag
BAR313,Gandhi Udyan
BAR314,Bhatnagar Colony
BAR315,A.d.m. Compund
BAR316,S.s.p. Office
BAR317,P.w.d. Quator
BAR318,Tehsil
BAR319,Power House Area
BAR320,Bajar Sandal Khan
BAR321,English Ganj
BAR322,Kohna Kotavali
BAR323,Reti
BAR324,Kanghi Tola
BAR325,Samrat Ashok Nagar (Jogi Navada)
BAR326,K. K. Garvi
BAR327,Kanhaiya Tola
BAR328,Darji Chauk
BAR329,K.k. Sharki (Khvaja Kutub)
BAR330,Saudagaran
BAR331,Madari Gate
BAR332,Koocha Sitaram
BAR333,Kaharvan
BAR334,Partapur Chaudhari
BAR335,Shiv State (Partapur Chaudhari)
BAR336,Sailani
BAR337,Katikuiya
BAR338,Kaji Tola
BAR339,Soofi Tola
BAR340,Gher Jafar Khan
BAR341,Kasai Tola
BAR342,Chak Mahamood Nagar
BAR343,Gautiya Khurram
BAR344,Classic Enclave Makarandpur Sarkar (Civil Line)
BAR345,Makarandpur (Civil Lines)
BAR346,Ramapur Bag
BAR347,Radheshyam Enclave
BAR348,Semalkheda
BAR349,Ramvatika
BAR350,Kasba Hafijpur
BAR351,Pagalkhana
